name,cmc,oracle_text,power,toughness,keywords,set,set_name,points
Hired Claw,1,"Whenever you attack with one or more Lizards, this creature deals 1 damage to target opponent.
{1}{R}: Put a +1/+1 counter on this creature. Activate only if an opponent lost life this turn and only once each turn.",1,2,[],blb,Bloomburrow,7
Valley Mightcaller,1,"Trample
Whenever another Frog, Rabbit, Raccoon, or Squirrel you control enters, put a +1/+1 counter on this creature.",1,1,['Trample'],blb,Bloomburrow,5
Heartfire Hero,1,"Valiant — Whenever this creature becomes the target of a spell or ability you control for the first time each turn, put a +1/+1 counter on it.
When this creature dies, it deals damage equal to its power to each opponent.",1,1,['Valiant'],blb,Bloomburrow,7
Pawpatch Recruit,1,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Trample
Whenever a creature you control becomes the target of a spell or ability an opponent controls, put a +1/+1 counter on target creature you control other than that creature.",2,1,"['Offspring', 'Trample']",blb,Bloomburrow,9
Sunshower Druid,1,"When this creature enters, put a +1/+1 counter on target creature and you gain 1 life.",0,2,[],blb,Bloomburrow,4
Iridescent Vinelasher,1,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Landfall — Whenever a land you control enters, this creature deals 1 damage to target opponent.",1,2,"['Offspring', 'Landfall']",blb,Bloomburrow,8
Bonecache Overseer,1,"{T}, Pay 1 life: Draw a card. Activate only if three or more cards left your graveyard this turn or if you've sacrificed a Food this turn.",1,1,[],blb,Bloomburrow,4
Ravine Raider,1,"Menace (This creature can't be blocked except by two or more creatures.)
{1}{B}: This creature gets +1/+1 until end of turn.",1,1,['Menace'],blb,Bloomburrow,4
Seasoned Warrenguard,1,"Whenever this creature attacks while you control a token, this creature gets +2/+0 until end of turn.",1,2,[],blb,Bloomburrow,4
Flowerfoot Swordmaster,1,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Valiant — Whenever this creature becomes the target of a spell or ability you control for the first time each turn, Mice you control get +1/+0 until end of turn.",1,2,"['Offspring', 'Valiant']",blb,Bloomburrow,8
Mockingbird,1,"Flying
You may have this creature enter as a copy of any creature on the battlefield with mana value less than or equal to the amount of mana spent to cast this creature, except it's a Bird in addition to its other types and it has flying.",1,1,['Flying'],blb,Bloomburrow,4
Mistbreath Elder,1,"At the beginning of your upkeep, return another creature you control to its owner's hand. If you do, put a +1/+1 counter on this creature. Otherwise, you may return this creature to its owner's hand.",2,2,[],blb,Bloomburrow,6
Brave-Kin Duo,1,"{1}, {T}: Target creature gets +1/+1 until end of turn. Activate only as a sorcery.",1,1,[],blb,Bloomburrow,3
"Finneas, Ace Archer",2,"Vigilance, reach
Whenever Finneas attacks, put a +1/+1 counter on each other creature you control that's a token or a Rabbit. Then if creatures you control have total power 10 or greater, draw a card.",2,2,"['Reach', 'Vigilance']",blb,Bloomburrow,10
Bushy Bodyguard,2,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
When this creature enters, you may forage. If you do, put two +1/+1 counters on it. (To forage, exile three cards from your graveyard or sacrifice a Food.)",2,1,"['Forage', 'Offspring']",blb,Bloomburrow,8
Bakersbane Duo,2,"When this creature enters, create a Food token.
Whenever you expend 4, this creature gets +1/+1 until end of turn. (You expend 4 as you spend your fourth total mana to cast spells during a turn.)",2,2,['Food'],blb,Bloomburrow,7
