name,cmc,oracle_text,power,toughness,keywords,set,set_name,points
Flamekin Bladewhirl,1,"As an additional cost to cast this spell, reveal an Elemental card from your hand or pay {3}.",2,1,[],lrw,Lorwyn,3
Facevaulter,1,"{B}, Sacrifice a Goblin: This creature gets +2/+2 until end of turn.",1,1,[],lrw,Lorwyn,3
Flamekin Brawler,1,{R}: This creature gets +1/+0 until end of turn.,0,2,[],lrw,Lorwyn,3
Elvish Eulogist,1,Sacrifice this creature: You gain 1 life for each Elf card in your graveyard.,1,1,[],lrw,Lorwyn,3
Goldmeadow Dodger,1,This creature can't be blocked by creatures with power 4 or greater.,1,1,[],lrw,Lorwyn,3
Goldmeadow Stalwart,1,"As an additional cost to cast this spell, reveal a Kithkin card from your hand or pay {3}.",2,2,[],lrw,Lorwyn,4
Elvish Handservant,1,"Whenever a player casts a Giant spell, you may put a +1/+1 counter on this creature.",1,1,[],lrw,Lorwyn,4
Knucklebone Witch,1,"Whenever a Goblin you control is put into a graveyard from the battlefield, you may put a +1/+1 counter on this creature.",1,1,[],lrw,Lorwyn,4
Nightshade Stinger,1,"Flying
This creature can't block.",1,1,['Flying'],lrw,Lorwyn,3
Treefolk Harbinger,1,"When this creature enters, you may search your library for a Treefolk or Forest card, reveal it, then shuffle and put that card on top.",0,3,[],lrw,Lorwyn,4
Burrenton Forge-Tender,1,"Protection from red
Sacrifice this creature: Prevent all damage a red source of your choice would deal this turn.",1,1,['Protection'],lrw,Lorwyn,5
Goldmeadow Harrier,1,"{W}, {T}: Tap target creature.",1,1,[],lrw,Lorwyn,3
Flamekin Harbinger,1,"When this creature enters, you may search your library for an Elemental card, reveal it, then shuffle and put that card on top.",1,1,[],lrw,Lorwyn,3
Boggart Forager,1,"{R}, Sacrifice this creature: Target player shuffles their library.",1,1,[],lrw,Lorwyn,3
Tideshaper Mystic,1,{T}: Target land becomes the basic land type of your choice until end of turn. Activate only during your turn.,1,1,[],lrw,Lorwyn,3
Deeptread Merrow,2,{U}: This creature gains islandwalk until end of turn. (It can't be blocked as long as defending player controls an Island.),2,1,[],lrw,Lorwyn,4
Skeletal Changeling,2,"Changeling (This card is every creature type.)
{1}{B}: Regenerate this creature.",1,1,['Changeling'],lrw,Lorwyn,4
