name,cmc,oracle_text,power,toughness,keywords,set,set_name,points
Foothill Guide,1,"Protection from Goblins
Morph {W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",1,1,"['Morph', 'Protection']",ons,Onslaught,5
Taunting Elf,1,All creatures able to block this creature do so.,0,1,[],ons,Onslaught,2
Goblin Sledder,1,Sacrifice a Goblin: Target creature gets +1/+1 until end of turn.,1,1,[],ons,Onslaught,3
Nova Cleric,1,"{2}{W}, {T}, Sacrifice this creature: Destroy all enchantments.",1,2,[],ons,Onslaught,6
Accursed Centaur,1,"When this creature enters, sacrifice a creature.",2,2,[],ons,Onslaught,4
Birchlore Rangers,1,"Tap two untapped Elves you control: Add one mana of any color.
Morph {G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",1,1,['Morph'],ons,Onslaught,5
Imagecrafter,1,{T}: Choose a creature type other than Wall. Target creature becomes that type until end of turn.,1,1,[],ons,Onslaught,3
Elvish Pioneer,1,"When this creature enters, you may put a basic land card from your hand onto the battlefield tapped.",1,1,[],ons,Onslaught,4
Elvish Scrapper,1,"{G}, {T}, Sacrifice this creature: Destroy target artifact.",1,1,[],ons,Onslaught,3
Festering Goblin,1,"When this creature dies, target creature gets -1/-1 until end of turn.",1,1,[],ons,Onslaught,4
Goblin Taskmaster,1,"{1}{R}: Target Goblin creature gets +1/+0 until end of turn.
Morph {R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",1,1,['Morph'],ons,Onslaught,4
Weathered Wayfarer,1,"{W}, {T}: Search your library for a land card, reveal it, put it into your hand, then shuffle. Activate only if an opponent controls more lands than you.",1,1,[],ons,Onslaught,4
Skirk Prospector,1,Sacrifice a Goblin: Add {R}.,1,1,[],ons,Onslaught,3
Entrails Feaster,1,"At the beginning of your upkeep, you may exile a creature card from a graveyard. If you do, put a +1/+1 counter on this creature. If you don't, tap this creature.",1,1,[],ons,Onslaught,4
Gustcloak Runner,1,"Whenever this creature becomes blocked, you may untap it and remove it from combat.",1,1,[],ons,Onslaught,3
Headhunter,2,"Whenever this creature deals combat damage to a player, that player discards a card.
Morph {B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",1,1,['Morph'],ons,Onslaught,5
Voidmage Prodigy,2,"{U}{U}, Sacrifice a Wizard: Counter target spell.
Morph {U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",2,1,['Morph'],ons,Onslaught,5
Catapult Squad,2,Tap two untapped Soldiers you control: This creature deals 2 damage to target attacking or blocking creature.,2,1,[],ons,Onslaught,4
Information Dealer,2,"{T}: Look at the top X cards of your library, where X is the number of Wizards on the battlefield, then put them back in any order.",1,1,[],ons,Onslaught,3
Battlefield Medic,2,"{T}: Prevent the next X damage that would be dealt to target creature this turn, where X is the number of Clerics on the battlefield.",1,1,[],ons,Onslaught,3
Wretched Anurid,2,"Whenever another creature enters, you lose 1 life.",3,3,[],ons,Onslaught,6
Wall of Mulch,2,"Defender (This creature can't attack.)
{G}, Sacrifice a Wall: Draw a card.",0,4,['Defender'],ons,Onslaught,5
Shepherd of Rot,2,{T}: Each player loses 1 life for each Zombie on the battlefield.,1,1,[],ons,Onslaught,4
Glory Seeker,2,,2,2,[],ons,Onslaught,4
Disciple of Malice,2,"Protection from white
Cycling {2} ({2}, Discard this card: Draw a card.)",1,2,"['Protection', 'Cycling']",ons,Onslaught,6
Tempting Wurm,2,"When this creature enters, each opponent may put any number of artifact, creature, enchantment, and/or land cards from their hand onto the battlefield.",5,5,[],ons,Onslaught,12
Broodhatch Nantuko,2,"Whenever this creature is dealt damage, you may create that many 1/1 green Insect creature tokens.
Morph {2}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",1,1,['Morph'],ons,Onslaught,6
Wirewood Elf,2,{T}: Add {G}.,1,2,[],ons,Onslaught,4
Dwarven Blastminer,2,"{2}{R}, {T}: Destroy target nonbasic land.
Morph {R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",1,1,['Morph'],ons,Onslaught,5
Elvish Warrior,2,,2,3,[],ons,Onslaught,5
Disciple of Grace,2,"Protection from black
Cycling {2} ({2}, Discard this card: Draw a card.)",1,2,"['Protection', 'Cycling']",ons,Onslaught,6
Wirewood Herald,2,"When this creature dies, you may search your library for an Elf card, reveal that card, put it into your hand, then shuffle.",1,1,[],ons,Onslaught,4
Wellwisher,2,{T}: You gain 1 life for each Elf on the battlefield.,1,1,[],ons,Onslaught,3
Mistform Stalker,2,"{1}: This creature becomes the creature type of your choice until end of turn.
{2}{U}{U}: This creature gets +2/+2 and gains flying until end of turn.",1,1,[],ons,Onslaught,4
Elvish Vanguard,2,"Whenever another Elf enters, put a +1/+1 counter on this creature.",1,1,[],ons,Onslaught,4
True Believer,2,You have shroud. (You can't be the target of spells or abilities.),2,2,[],ons,Onslaught,5
Whipcorder,2,"{W}, {T}: Tap target creature.
Morph {W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",2,2,['Morph'],ons,Onslaught,6
Sparksmith,2,"{T}: This creature deals X damage to target creature and X damage to you, where X is the number of Goblins on the battlefield.",1,1,[],ons,Onslaught,3
Goblin Piledriver,2,"Protection from blue (This creature can't be blocked, targeted, dealt damage, or enchanted by anything blue.)
Whenever this creature attacks, it gets +2/+0 until end of turn for each other attacking Goblin.",1,2,['Protection'],ons,Onslaught,6
Spitfire Handler,2,"This creature can't block creatures with power greater than this creature's power.
{R}: This creature gets +1/+0 until end of turn.",1,1,[],ons,Onslaught,3
Boneknitter,2,"{1}{B}: Regenerate target Zombie.
Morph {2}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",1,1,['Morph'],ons,Onslaught,4
Aphetto Alchemist,2,"{T}: Untap target artifact or creature.
Morph {U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",1,2,['Morph'],ons,Onslaught,5
Bloodline Shaman,2,"{T}: Choose a creature type. Reveal the top card of your library. If that card is a creature card of the chosen type, put it into your hand. Otherwise, put it into your graveyard.",1,1,[],ons,Onslaught,4
Riptide Biologist,2,"Protection from Beasts
Morph {2}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",1,2,"['Morph', 'Protection']",ons,Onslaught,6
Rotlung Reanimator,3,"Whenever this creature or another Cleric dies, create a 2/2 black Zombie creature token.",2,2,[],ons,Onslaught,9
Goblin Sky Raider,3,Flying (This creature can't be blocked except by creatures with flying or reach.),1,2,['Flying'],ons,Onslaught,4
Aphetto Grifter,3,Tap two untapped Wizards you control: Tap target permanent.,1,1,[],ons,Onslaught,3
Disruptive Pitmage,3,"{T}: Counter target spell unless its controller pays {1}.
Morph {U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",1,1,['Morph'],ons,Onslaught,4
Nantuko Husk,3,Sacrifice a creature: This creature gets +2/+2 until end of turn.,2,2,[],ons,Onslaught,5
Ebonblade Reaper,3,"Whenever this creature attacks, you lose half your life, rounded up.
Whenever this creature deals combat damage to a player, that player loses half their life, rounded up.
Morph {3}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",1,1,['Morph'],ons,Onslaught,5
Spined Basher,3,Morph {2}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.),3,1,['Morph'],ons,Onslaught,5
Frightshroud Courier,3,"You may choose not to untap this creature during your untap step.
{2}{B}, {T}: Target Zombie creature gets +2/+2 and has fear for as long as this creature remains tapped. (It can't be blocked except by artifact creatures and/or black creatures.)",2,1,[],ons,Onslaught,5
Leery Fogbeast,3,"Whenever this creature becomes blocked, prevent all combat damage that would be dealt this turn.",4,2,[],ons,Onslaught,8
Doomed Necromancer,3,"{B}, {T}, Sacrifice this creature: Return target creature card from your graveyard to the battlefield.",2,2,[],ons,Onslaught,6
Wirewood Savage,3,"Whenever a Beast enters, you may draw a card.",2,2,[],ons,Onslaught,6
Nosy Goblin,3,"{T}, Sacrifice this creature: Destroy target face-down creature.",2,1,[],ons,Onslaught,5
Callous Oppressor,3,"You may choose not to untap this creature during your untap step.
As this creature enters, an opponent chooses a creature type.
{T}: Gain control of target creature that isn't of the chosen type for as long as this creature remains tapped.",1,2,[],ons,Onslaught,5
Undead Gladiator,3,"{1}{B}, Discard a card: Return this card from your graveyard to your hand. Activate only during your upkeep.
Cycling {1}{B} ({1}{B}, Discard this card: Draw a card.)",3,1,['Cycling'],ons,Onslaught,7
Dawning Purist,3,"Whenever this creature deals combat damage to a player, you may destroy target enchantment that player controls.
Morph {1}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",2,2,['Morph'],ons,Onslaught,7
Cabal Slaver,3,"Whenever a Goblin deals combat damage to a player, that player discards a card.",2,1,[],ons,Onslaught,5
Gustcloak Harrier,3,"Flying
Whenever this creature becomes blocked, you may untap it and remove it from combat.",2,2,['Flying'],ons,Onslaught,6
Skirk Commando,3,"Whenever this creature deals combat damage to a player, you may have it deal 2 damage to target creature that player controls.
Morph {2}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",2,1,['Morph'],ons,Onslaught,5
Goblin Sharpshooter,3,"This creature doesn't untap during your untap step.
Whenever a creature dies, untap this creature.
{T}: This creature deals 1 damage to any target.",1,1,[],ons,Onslaught,5
Pearlspear Courier,3,"You may choose not to untap this creature during your untap step.
{2}{W}, {T}: Target Soldier creature gets +2/+2 and has vigilance for as long as this creature remains tapped.",2,1,[],ons,Onslaught,4
Walking Desecration,3,"{B}, {T}: Creatures of the creature type of your choice attack this turn if able.",1,1,[],ons,Onslaught,3
Crafty Pathmage,3,{T}: Target creature with power 2 or less can't be blocked this turn.,1,1,[],ons,Onslaught,3
Ghosthelm Courier,3,"You may choose not to untap this creature during your untap step.
{2}{U}, {T}: Target Wizard creature gets +2/+2 and has shroud for as long as this creature remains tapped. (It can't be the target of spells or abilities.)",2,1,[],ons,Onslaught,4
Thoughtbound Primoc,3,"Flying
At the beginning of your upkeep, if a player controls more Wizards than each other player, the player who controls the most Wizards gains control of this creature.",2,3,['Flying'],ons,Onslaught,7
Flamestick Courier,3,"You may choose not to untap this creature during your untap step.
{2}{R}, {T}: Target Goblin creature gets +2/+2 and has haste for as long as this creature remains tapped.",2,1,[],ons,Onslaught,4
Mistform Dreamer,3,"Flying
{1}: This creature becomes the creature type of your choice until end of turn.",2,1,['Flying'],ons,Onslaught,5
Everglove Courier,3,"You may choose not to untap this creature during your untap step.
{2}{G}, {T}: Target Elf creature gets +2/+2 and has trample for as long as this creature remains tapped.",2,1,[],ons,Onslaught,4
Daru Healer,3,"{T}: Prevent the next 1 damage that would be dealt to any target this turn.
Morph {W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",1,2,['Morph'],ons,Onslaught,5
Cabal Archon,3,"{B}, Sacrifice a Cleric: Target player loses 2 life and you gain 2 life.",2,2,[],ons,Onslaught,6
